Juridiction,Policy_Text,Initiative_Résumé,Année
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]",Next Generation AI Development Plan,
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]","China has been proactive in adopting legislation around the use of AI, with several national laws currently in place.",
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]","Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars.",
CHINA,"China has been proactive in adopting legislation around the use of AI, with several national laws currently in place. Recently, a draft of the Artificial Intelligence Law of the People's Republic of China was proposed by scholars. This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems. Currently, the laws governing AI in China are specific to  AI use cases. These include:
•  Algorithmic Recommendation Management  Provisions  [IN FORCE]
•  Interim Measures for the Management of  Generative AI Services  [IN FORCE]
•  Deep Synthesis Management Provisions
[IN FORCE]
•  AI guidelines and summary of regulations
[IN FORCE]
•  Scientific and Technological Ethics Regulation
[IN FORCE]
•  Next Generation AI Development Plan
[IN FORCE]","This law would set forth requirements specifically for developers and deployers of AI for AI generally and for high-risk or ""critical"" AI-based systems.",
COLOMBIA,"Colombia has various policies addressing AI governance, including the following:
•  AI Expert Mission.
•  AI National Strategy Policy.
•  AI in the Public Sector.",AI National Strategy Policy.,
COLOMBIA,"Colombia has various policies addressing AI governance, including the following:
•  AI Expert Mission.
•  AI National Strategy Policy.
•  AI in the Public Sector.",AI in the Public Sector.,
EGYPT,"Egypt's National AI Strategy focuses on four pillars:
•  AI for government.
•  AI for development.
•  Capacity building.
•  International activities.
The country's other initiatives include an AI roadmap and Charter for Responsible AI.",International activities.,
EGYPT,"Egypt's National AI Strategy focuses on four pillars:
•  AI for government.
•  AI for development.
•  Capacity building.
•  International activities.
The country's other initiatives include an AI roadmap and Charter for Responsible AI.","Egypt's National AI Strategy focuses on four pillars:
The country's other initiatives include an AI roadmap and Charter for Responsible AI.",
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",Creates harmonized rules for placing AI on the EU market.,
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.,
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",Centers around a risk-based approach.,
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",Prohibits use of certain AI systems and provides specific requirements for high-risk systems.,
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",Creates harmonized transparency rules for certain AI systems.,
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.","On 1 Aug. 2024, the EU AI Act entered into force.",2024.0
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.","Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.",2025.0
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.","In brief, the act:
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations.",
↓,"On 1 Aug. 2024, the EU AI Act entered into force. Various dates for compliance will apply in the coming years, with the first applications of the act in early 2025 and the last at the end of 2030.
In brief, the act:
•  Creates harmonized rules for placing AI on the EU market.
•  Applies to the EU and any third-country providers and deployers that place AI systems on the EU market.
•  Centers around a risk-based approach.
•  Prohibits use of certain AI systems and provides specific requirements for high-risk systems.
•  Creates harmonized transparency rules for certain AI systems.
The IAPP and its partners have worked diligently to analyze the EU AI Act and its implications for organizations. For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.","For more insight, check out the IAPP series on the top 10 operations impacts of the EU AI Act and the EU AI Act: 101 chart.",
INDIA,"A proposed Digital India Act would replace the IT Act of 2000 and regulate high-risk AI systems. The Indian government has advocated for a robust, citizen-centric and inclusive ""AI for all"" environment. A task force has been established to make recommendations on ethical, legal and societal issues related to AI, and to establish an AI regulatory authority.
According to its National Strategy for AI, India hopes to become what it calls an ""AI garage"" for emerging and developing economies, where
scalable solutions can be easily implemented and designed for global deployment.",A proposed Digital India Act would replace the IT Act of 2000 and regulate high-risk AI systems.,2000.0
INDIA,"A proposed Digital India Act would replace the IT Act of 2000 and regulate high-risk AI systems. The Indian government has advocated for a robust, citizen-centric and inclusive ""AI for all"" environment. A task force has been established to make recommendations on ethical, legal and societal issues related to AI, and to establish an AI regulatory authority.
According to its National Strategy for AI, India hopes to become what it calls an ""AI garage"" for emerging and developing economies, where
scalable solutions can be easily implemented and designed for global deployment.","The Indian government has advocated for a robust, citizen-centric and inclusive ""AI for all"" environment.",
INDIA,"A proposed Digital India Act would replace the IT Act of 2000 and regulate high-risk AI systems. The Indian government has advocated for a robust, citizen-centric and inclusive ""AI for all"" environment. A task force has been established to make recommendations on ethical, legal and societal issues related to AI, and to establish an AI regulatory authority.
According to its National Strategy for AI, India hopes to become what it calls an ""AI garage"" for emerging and developing economies, where
scalable solutions can be easily implemented and designed for global deployment.","A task force has been established to make recommendations on ethical, legal and societal issues related to AI, and to establish an AI regulatory authority.",
INDIA,"A proposed Digital India Act would replace the IT Act of 2000 and regulate high-risk AI systems. The Indian government has advocated for a robust, citizen-centric and inclusive ""AI for all"" environment. A task force has been established to make recommendations on ethical, legal and societal issues related to AI, and to establish an AI regulatory authority.
According to its National Strategy for AI, India hopes to become what it calls an ""AI garage"" for emerging and developing economies, where
scalable solutions can be easily implemented and designed for global deployment.","According to its National Strategy for AI, India hopes to become what it calls an ""AI garage"" for emerging and developing economies, where
scalable solutions can be easily implemented and designed for global deployment.",
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.",Bureaucratic reform.,
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.",Education and research.,
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.",Mobility and smart cities.,
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.","In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045.",2020.0
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.","The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
Further, Indonesia released a Circular on AI Ethics.",
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.","While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry.",
INDONESIA,"In 2020, Indonesia released the National Strategy on AI as part of the AI Towards Indonesia's Vision 2045. The following five national priorities were outlines as where AI is anticipated to have the biggest impact:
•  Health services.
•  Bureaucratic reform.
•  Education and research.
•  Food security.
•  Mobility and smart cities.
Further, Indonesia released a Circular on AI Ethics. While not binding, it provides a reference point for formulating and establishing internal company policies for Indonesia's AI industry. Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.","Since issuing the circular, the Ministry of Communication and Informatics committed to preparing specific regulations regarding AI use and development.",
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.",Israeli AI Regulation and Policy White Paper: A  First Glance.,
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.",Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.,
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.",Policy on AI Regulation and Ethics.,
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.","Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization.",
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.","In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework.",
ISRAEL,"Based on a policy for regulation and ethics in AI, Israel wants to form a uniform risk-management tool, establish a governmental knowledge and coordination center, and maintain involvement in international regulation and standardization. In general, voluntary standardization, sector-based self-regulation and modular experimentation tools, e.g., sandboxes, will be favored over a lateral framework. The following resources are available for policy guidance:
•  Israeli AI Regulation and Policy White Paper: A  First Glance.
•  Harnessing Innovation: Israeli Perspectives on  AI Ethics and Governance.
•  Policy on AI Regulation and Ethics.",The following resources are available for policy guidance:,
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.",AI Governance in Japan Ver. 1.1.,
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.",Governance Guidelines for Implementation of  AI Principles.,
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.","AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.",
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.","In 2022, Japan released a National AI Strategy.",2022.0
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.","The following white papers have been issued for policy guidance:
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.",2023.0
JAPAN,"In 2022, Japan released a National AI Strategy. Japan promotes the notion of ""agile governance,"" whereby the government provides nonbinding guidance and defers to the private sector's voluntary efforts to self-regulate.
The following white papers have been issued for policy guidance:
•  AI Governance in Japan Ver. 1.1.
•  Governance Guidelines for Implementation of  AI Principles.
•  AI Utilization Guidelines, an initiative for implementing the OECD AI Principles.
In 2023, the AI Strategy Council released draft AI  Operator Guidelines, which clarify how operators should develop, provide and use AI.
In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.","In May 2024, Japan introduced draft legislation that would require various disclosures by developers and safeguard human rights.",2024.0
MAURITIUS,"Mauritius published an AI Strategy. The strategy goes in depth on the benefits and challenges
of AI, specifically how AI impacts the country's various industries, and sets out a clear vision for development of AI.
Other initiatives from the Mauritius government include:
•  AI Society.
•  AI for Agriculture project.",AI for Agriculture project.,
MAURITIUS,"Mauritius published an AI Strategy. The strategy goes in depth on the benefits and challenges
of AI, specifically how AI impacts the country's various industries, and sets out a clear vision for development of AI.
Other initiatives from the Mauritius government include:
•  AI Society.
•  AI for Agriculture project.",Mauritius published an AI Strategy.,
MAURITIUS,"Mauritius published an AI Strategy. The strategy goes in depth on the benefits and challenges
of AI, specifically how AI impacts the country's various industries, and sets out a clear vision for development of AI.
Other initiatives from the Mauritius government include:
•  AI Society.
•  AI for Agriculture project.","The strategy goes in depth on the benefits and challenges
of AI, specifically how AI impacts the country's various industries, and sets out a clear vision for development of AI.",
MAURITIUS,"Mauritius published an AI Strategy. The strategy goes in depth on the benefits and challenges
of AI, specifically how AI impacts the country's various industries, and sets out a clear vision for development of AI.
Other initiatives from the Mauritius government include:
•  AI Society.
•  AI for Agriculture project.",Other initiatives from the Mauritius government include:,
NEW ZEALAND,"Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms. The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications. The
New Zealand government generally prioritizes trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary. Further, the Office of the Privacy Commissioner published the Privacy Commissioner's expectations around generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business, Innovation and Employment released a cabinet  paper that outlines its approach to AI regulation. In it, the ministry noted, ""we need to state our support for increased uptake of AI in New Zealand and be clear that we will take a light-touch, proportionate and risk-based approach to AI regulation.""
The Law, Society and Ethics Working Group published a set of guiding Trustworthy AI in  Aotearoa principles designed to provide direction for AI stakeholders.","Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms.",
NEW ZEALAND,"Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms. The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications. The
New Zealand government generally prioritizes trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary. Further, the Office of the Privacy Commissioner published the Privacy Commissioner's expectations around generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business, Innovation and Employment released a cabinet  paper that outlines its approach to AI regulation. In it, the ministry noted, ""we need to state our support for increased uptake of AI in New Zealand and be clear that we will take a light-touch, proportionate and risk-based approach to AI regulation.""
The Law, Society and Ethics Working Group published a set of guiding Trustworthy AI in  Aotearoa principles designed to provide direction for AI stakeholders.",The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications.,
NEW ZEALAND,"Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms. The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications. The
New Zealand government generally prioritizes trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary. Further, the Office of the Privacy Commissioner published the Privacy Commissioner's expectations around generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business, Innovation and Employment released a cabinet  paper that outlines its approach to AI regulation. In it, the ministry noted, ""we need to state our support for increased uptake of AI in New Zealand and be clear that we will take a light-touch, proportionate and risk-based approach to AI regulation.""
The Law, Society and Ethics Working Group published a set of guiding Trustworthy AI in  Aotearoa principles designed to provide direction for AI stakeholders.","The
New Zealand government generally prioritizes trustworthy and human-centric AI development.",
NEW ZEALAND,"Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms. The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications. The
New Zealand government generally prioritizes trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary. Further, the Office of the Privacy Commissioner published the Privacy Commissioner's expectations around generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business, Innovation and Employment released a cabinet  paper that outlines its approach to AI regulation. In it, the ministry noted, ""we need to state our support for increased uptake of AI in New Zealand and be clear that we will take a light-touch, proportionate and risk-based approach to AI regulation.""
The Law, Society and Ethics Working Group published a set of guiding Trustworthy AI in  Aotearoa principles designed to provide direction for AI stakeholders.","Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.",2020.0
NEW ZEALAND,"Many New Zealand government agencies are signatories to the Algorithm Charter, which sets out a series of ethical commitments around the development and use of algorithms. The charter provides a risk matrix to assess the likelihood and impact of algorithmic applications. The
New Zealand government generally prioritizes trustworthy and human-centric AI development.
Although there is no comprehensive AI regulation in New Zealand, the current Privacy Act 2020 applies to the use of AI systems in the country.
The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary. Further, the Office of the Privacy Commissioner published the Privacy Commissioner's expectations around generative AI in June 2023.
In July 2024, New Zealand's Ministry of Business, Innovation and Employment released a cabinet  paper that outlines its approach to AI regulation. In it, the ministry noted, ""we need to state our support for increased uptake of AI in New Zealand and be clear that we will take a light-touch, proportionate and risk-based approach to AI regulation.""
The Law, Society and Ethics Working Group published a set of guiding Trustworthy AI in  Aotearoa principles designed to provide direction for AI stakeholders.","The Office of the Privacy Commissioner issued guidance on compliance with privacy law when using generative AI tools, as well as a summary.",
